timestamp,frequencyBand,amplitudeDb,depthMeters,rangeMeters,soundSpeed,noiseLevelDb
2026-04-30T00:00:00.000Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.001Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.002Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.003Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.004Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.005Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.006Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.007Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.008Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.009Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.010Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.011Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.012Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.013Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.014Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.015Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.016Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.017Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.018Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.019Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.020Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.021Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.022Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.023Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.024Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.025Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.026Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.027Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.028Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.029Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.030Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.031Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.032Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.033Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.034Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.035Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.036Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.037Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.038Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.039Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.040Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.041Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.042Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.043Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.044Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.045Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.046Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.047Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
2026-04-30T00:00:00.048Z,62500.000,-174.000000,37.0,0.000,1487.0,-91.000
